Id,SalePrice
1461,121025.836
1462,159138.27
1463,174868.17
1464,180495.89
1465,193794.47
1466,175273.73
1467,165549.45
1468,160701.73
1469,182483.19
1470,125475.38
1471,202001.1
1472,97629.54
1473,95936.8
1474,148039.1
1475,126848.74
1476,407355.53
1477,248583.47
1478,293165.2
1479,292375.88
1480,501976.97
1481,304989.22
1482,217063.84
1483,166846.14
1484,160976.72
1485,174622.17
1486,195237.92
1487,328029.3
1488,238577.31
1489,193195.42
1490,219796.22
1491,188445.6
1492,88082.63
1493,194483.42
1494,291019.56
1495,296296.6
1496,237694.3
1497,171836.8
1498,157136.31
1499,160859.33
1500,146075.92
1501,166710.02
1502,158455.36
1503,294203.6
1504,231565.11
1505,220550.64
1506,186919.2
1507,244346.06
1508,200557.88
1509,160801.83
1510,145324.27
1511,139577.84
1512,171716.38
1513,159313.08
1514,159523.36
1515,192041.73
1516,164049.47
1517,156340.84
1518,146992.92
1519,216105.31
1520,132831.48
1521,133556.98
1522,168390.47
1523,107073.56
1524,111680.48
1525,119128.47
1526,120607.82
1527,96820.516
1528,130371.14
1529,136743.03
1530,165520.12
1531,107987.664
1532,102760.44
1533,139996.4
1534,116678.53
1535,155764.19
1536,109269.48
1537,76489.586
1538,172131.28
1539,211558.44
1540,111841.516
1541,136703.5
1542,135164.66
1543,224903.14
1544,66895.54
1545,100704.32
1546,126551.805
1547,135723.11
1548,130144.7
1549,106098.55
1550,141981.3
1551,124622.23
1552,139340.38
1553,148685.12
1554,103034.55
1555,179463.98
1556,99097.87
1557,114377.11
1558,93108.41
1559,98358.53
1560,128791.9
1561,156488.8
1562,122655.59
1563,118736.51
1564,164327.4
1565,151797.89
1566,230345.52
1567,76294.125
1568,229116.8
1569,151078.6
1570,123934.63
1571,120128.97
1572,144628.4
1573,258911.53
1574,129305.3
1575,215608.03
1576,206708.98
1577,180316.84
1578,138688.67
1579,150746.28
1580,198472.58
1581,146986.16
1582,126301.19
1583,317644.47
1584,232287.9
1585,139088.0
1586,77076.04
1587,85177.39
1588,139596.12
1589,81233.58
1590,138638.9
1591,101854.74
1592,120577.48
1593,123392.99
1594,119033.45
1595,128164.65
1596,230500.66
1597,186953.27
1598,211034.28
1599,194333.92
1600,198862.3
1601,81346.99
1602,110257.84
1603,77855.83
