,Id,SalePrice
0,1461,123000
1,1462,132250
2,1463,192000
3,1464,192000
4,1465,132250
5,1466,178000
6,1467,173000
7,1468,175000
8,1469,189000
9,1470,116050
10,1471,109900
11,1472,89500
12,1473,94500
13,1474,148500
14,1475,80000
15,1476,233170
16,1477,233170
17,1478,256300
18,1479,314813
19,1480,224500
20,1481,202900
21,1482,202500
22,1483,201000
23,1484,160200
24,1485,170000
25,1486,183500
26,1487,187100
27,1488,232000
28,1489,208300
29,1490,151000
30,1491,180000
31,1492,98000
32,1493,112000
33,1494,215000
34,1495,180000
35,1496,164700
36,1497,209500
37,1498,151000
38,1499,148800
39,1500,147400
40,1501,143000
41,1502,184900
42,1503,187750
43,1504,161000
44,1505,176000
45,1506,124000
46,1507,250000
47,1508,148000
48,1509,158000
49,1510,96500
50,1511,102000
51,1512,110000
52,1513,124000
53,1514,150000
54,1515,109000
55,1516,97500
56,1517,149000
57,1518,110000
58,1519,220000
59,1520,136500
60,1521,136500
61,1522,139000
62,1523,93000
63,1524,129900
64,1525,133000
65,1526,85400
66,1527,55993
67,1528,97000
68,1529,140000
69,1530,140000
70,1531,106000
71,1532,115000
72,1533,73000
73,1534,98000
74,1535,80000
75,1536,79000
76,1537,35311
77,1538,205000
78,1539,122000
79,1540,80000
80,1541,140000
81,1542,135000
82,1543,122000
83,1544,86000
84,1545,128000
85,1546,103000
86,1547,97000
87,1548,80000
88,1549,60000
89,1550,140000
90,1551,103600
91,1552,98000
92,1553,127000
93,1554,78000
94,1555,98600
95,1556,73000
96,1557,108000
97,1558,115000
98,1559,55000
99,1560,73000
100,1561,84500
101,1562,115000
102,1563,111000
103,1564,93000
104,1565,185000
105,1566,103200
106,1567,52000
107,1568,222500
108,1569,122500
109,1570,154000
110,1571,76000
111,1572,115000
112,1573,264132
113,1574,60000
114,1575,86000
115,1576,145000
116,1577,195400
117,1578,128500
118,1579,79900
119,1580,140000
120,1581,130250
121,1582,100000
122,1583,250000
123,1584,174000
124,1585,140000
125,1586,72500
126,1587,135000
127,1588,121500
128,1589,52000
129,1590,85000
130,1591,55000
131,1592,108000
132,1593,82500
133,1594,82000
134,1595,99900
135,1596,311500
136,1597,154300
137,1598,170000
138,1599,170000
139,1600,154300
140,1601,35311
141,1602,60000
142,1603,55993
143,1604,275000
144,1605,162900
145,1606,205000
146,1607,171000
147,1608,181000
148,1609,198900
149,1610,167500
150,1611,82500
151,1612,164000
152,1613,115000
153,1614,118500
154,1615,79000
155,1616,91500
156,1617,83500
157,1618,82000
158,1619,110000
159,1620,154300
160,1621,167500
161,1622,91500
162,1623,155000
163,1624,236000
164,1625,97000
165,1626,128900
166,1627,192000
167,1628,290000
168,1629,168500
169,1630,251000
170,1631,190000
171,1632,251000
172,1633,180000
173,1634,192000
174,1635,124000
175,1636,141000
176,1637,119000
177,1638,190000
178,1639,148000
179,1640,250000
180,1641,180000
181,1642,177500
182,1643,110000
183,1644,239000
184,1645,167000
185,1646,82500
186,1647,100000
187,1648,126500
188,1649,124500
189,1650,105000
190,1651,124500
191,1652,118000
192,1653,94500
193,1654,146000
194,1655,127000
195,1656,148500
196,1657,146000
197,1658,146000
198,1659,120000
199,1660,120000
200,1661,485000
201,1662,252678
202,1663,256300
203,1664,315000
204,1665,239000
205,1666,293077
206,1667,233230
207,1668,235128
208,1669,201000
209,1670,227680
210,1671,257000
211,1672,555000
212,1673,309000
213,1674,230000
214,1675,196000
215,1676,196000
216,1677,230000
217,1678,315000
218,1679,315000
219,1680,186500
220,1681,202500
221,1682,326000
222,1683,171750
223,1684,155835
224,1685,174000
225,1686,159895
226,1687,170000
227,1688,165400
228,1689,215000
229,1690,180000
230,1691,188500
231,1692,237000
232,1693,170000
233,1694,173000
234,1695,170000
235,1696,214000
236,1697,170000
237,1698,184750
238,1699,213250
239,1700,240000
240,1701,271000
241,1702,183000
242,1703,230500
243,1704,175900
244,1705,202500
245,1706,184750
246,1707,185000
247,1708,179600
248,1709,212900
249,1710,176000
250,1711,177500
251,1712,253293
252,1713,214000
253,1714,185000
254,1715,145000
255,1716,84500
256,1717,155000
257,1718,84500
258,1719,214000
259,1720,204000
260,1721,155000
261,1722,123600
262,1723,155000
263,1724,179600
264,1725,187500
265,1726,201000
266,1727,153900
267,1728,130500
268,1729,103600
269,1730,112000
270,1731,115000
271,1732,143250
272,1733,80000
273,1734,112500
274,1735,124500
275,1736,99500
276,1737,180000
277,1738,239000
278,1739,250000
279,1740,128000
280,1741,146000
281,1742,160000
282,1743,155000
283,1744,180000
284,1745,225000
285,1746,118500
286,1747,294000
287,1748,155000
288,1749,128900
289,1750,145000
290,1751,146500
291,1752,100000
292,1753,126500
293,1754,205000
294,1755,160000
295,1756,120500
296,1757,129900
297,1758,103000
298,1759,137900
299,1760,180500
300,1761,110000
301,1762,122000
302,1763,127000
303,1764,84000
304,1765,104900
305,1766,185000
306,1767,110000
307,1768,135000
308,1769,109900
309,1770,130500
310,1771,139000
311,1772,104900
312,1773,103000
313,1774,110000
314,1775,67000
315,1776,88000
316,1777,118500
317,1778,127000
318,1779,39300
319,1780,130000
320,1781,119000
321,1782,107900
322,1783,113000
323,1784,125500
324,1785,67000
325,1786,230000
326,1787,105000
327,1788,34900
328,1789,52000
329,1790,64500
330,1791,137500
331,1792,157900
332,1793,129500
333,1794,142000
334,1795,139000
335,1796,120000
336,1797,95000
337,1798,60000
338,1799,100000
339,1800,119000
340,1801,109000
341,1802,68400
342,1803,131500
343,1804,128500
344,1805,107000
345,1806,96500
346,1807,87000
347,1808,107900
348,1809,37900
349,1810,125500
350,1811,91500
351,1812,102000
352,1813,132500
353,1814,109500
354,1815,35311
355,1816,100000
356,1817,110000
357,1818,87000
358,1819,113000
359,1820,80000
360,1821,79000
361,1822,135000
362,1823,85000
363,1824,79000
364,1825,132000
365,1826,88000
366,1827,85000
367,1828,87000
368,1829,107900
369,1830,106250
370,1831,108000
371,1832,76000
372,1833,103600
373,1834,132000
374,1835,130000
375,1836,140000
376,1837,82000
377,1838,73000
378,1839,80000
379,1840,179000
380,1841,125000
381,1842,67000
382,1843,118000
383,1844,151000
384,1845,135000
385,1846,158000
386,1847,115000
387,1848,86000
388,1849,39300
389,1850,60000
390,1851,136500
391,1852,141000
392,1853,138800
393,1854,135000
394,1855,105900
395,1856,177500
396,1857,126000
397,1858,142953
398,1859,118964
399,1860,153337
400,1861,118858
401,1862,122500
402,1863,122500
403,1864,122500
404,1865,266000
405,1866,297000
406,1867,245350
407,1868,248900
408,1869,193879
409,1870,194000
410,1871,181000
411,1872,174000
412,1873,269790
413,1874,79900
414,1875,176500
415,1876,130500
416,1877,221000
417,1878,204000
418,1879,110000
419,1880,119000
420,1881,214000
421,1882,222500
422,1883,205950
423,1884,202900
424,1885,170000
425,1886,196000
426,1887,192000
